"id","date_time","incident_num","location","apt_lot","type_id","lat","lng","group"
687,10/30/12 01:04 AM,2012207238,"3005 CHINABERRY DR-CO","B",15,38.91722,-92.30257,4
285,10/31/12 08:53 AM,2012208151,"4024 CLARK LN-CO",,15,,,2
2214,10/25/12 05:17 AM,2012203957,"3304 BROADWAY BUSINESS PARK CT-CO","D",6,38.9532,-92.38639,-1
8038,10/04/12 06:06 PM,2012190788,"ROCK QUARRY RD-CO/ROLLING ROCK DR-CO",,1,38.9202,-92.3171,-1
26,11/01/12 03:00 AM,2012208741,"500 COLLEGE AV S-CO",,8,38.94595,-92.32127,-1
7440,10/06/12 04:06 PM,2012192117,"2801 GREENBRIAR DR-CO",,12,38.92014,-92.34358,-1
7839,10/05/12 06:41 AM,2012191249,"120 NINTH ST S-CO",,10,38.94988,-92.32738,-1
6357,10/10/12 08:05 PM,2012194642,"600 WALNUT ST E-CO",,2,38.95248,-92.33047,-1
3316,10/20/12 10:57 PM,2012201287,"2116 PARIS RD-CO",,6,38.96962,-92.30517,-1
394,10/30/12 11:59 PM,2012207885,"PROVIDENCE RD S-CO/GREEN MEADOWS RD E-CO",,14,38.9163,-92.3347,-1
2878,10/22/12 08:32 PM,2012202286,"4000 ARCTIC FOX DR-CO",,24,38.99161,-92.33461,-1
5308,10/14/12 02:42 AM,2012196994,"1231 JAKE LN-CO",,12,38.93793,-92.38426,-1
64,11/01/12 12:54 AM,2012208663,"400 BLK BOURN AV-CO",,12,38.949302,-92.372378,-1
8894,10/02/12 02:45 AM,2012189064,"2514 RIDGEFIELD RD-CO",,17,38.9372,-92.37873,-1
8499,10/03/12 01:13 PM,2012189891,"1104 FALCON DR-CO",,32,38.93564,-92.3022,-1
